2026-03-20 15:49:57 startup archives install
2026-03-20 15:49:58 install base-passwd:armhf <none> 3.6.1
2026-03-20 15:49:58 status half-installed base-passwd:armhf 3.6.1
2026-03-20 15:49:58 status unpacked base-passwd:armhf 3.6.1
2026-03-20 15:49:58 configure base-passwd:armhf 3.6.1 3.6.1
2026-03-20 15:49:58 status half-configured base-passwd:armhf 3.6.1
2026-03-20 15:49:59 status installed base-passwd:armhf 3.6.1
2026-03-20 15:49:59 startup archives install
2026-03-20 15:49:59 install base-files:armhf <none> 12.4+deb12u13
2026-03-20 15:49:59 status half-installed base-files:armhf 12.4+deb12u13
2026-03-20 15:49:59 status unpacked base-files:armhf 12.4+deb12u13
2026-03-20 15:49:59 configure base-files:armhf 12.4+deb12u13 12.4+deb12u13
2026-03-20 15:50:00 status half-configured base-files:armhf 12.4+deb12u13
2026-03-20 15:50:01 status installed base-files:armhf 12.4+deb12u13
2026-03-20 15:50:01 startup archives install
2026-03-20 15:50:02 upgrade dpkg 1.21.22 1.21.22
2026-03-20 15:50:02 status half-configured dpkg 1.21.22
2026-03-20 15:50:02 status unpacked dpkg 1.21.22
2026-03-20 15:50:02 status half-installed dpkg 1.21.22
2026-03-20 15:50:02 status unpacked dpkg:armhf 1.21.22
2026-03-20 15:50:03 configure dpkg:armhf 1.21.22 1.21.22
2026-03-20 15:50:03 status half-configured dpkg:armhf 1.21.22
2026-03-20 15:50:04 status installed dpkg:armhf 1.21.22
2026-03-20 15:50:04 startup archives install
2026-03-20 15:50:05 install libc6:armhf <none> 2.36-9+deb12u13
2026-03-20 15:50:05 status half-installed libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:07 status unpacked libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:08 configure libc6:armhf 2.36-9+deb12u13 2.36-9+deb12u13
2026-03-20 15:50:08 status half-configured libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:09 status installed libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:09 startup archives install
2026-03-20 15:50:09 install perl-base:armhf <none> 5.36.0-7+deb12u3
